building_id,puma20,income_category,assigned_pv,assigned_battery,assigned_ev,assigned_hp
483394,G06007301,Medium,False,False,False,0
304683,G06007301,Medium,False,False,False,0
258061,G06007301,Medium,False,False,False,0
378387,G06007301,Medium,False,False,False,1
192093,G06007301,High,True,True,False,0
268321,G06007330,High,True,True,False,0
265547,G06007310,High,False,False,False,0
176754,G06007311,Medium,False,False,False,0
5442,G06007314,Medium,False,False,True,0
305481,G06007315,Medium,False,False,False,0
229581,G06007326,Low,True,True,False,0
541807,G06007317,Medium,False,False,False,0
522276,G06007312,Low,False,False,False,0
795,G06007315,High,True,True,True,0
536023,G06007316,Low,False,False,False,0
266765,G06007301,High,True,True,False,0
200987,G06007301,Medium,False,False,False,0
214367,G06007323,Medium,False,False,False,0
200790,G06007301,High,False,False,True,0
542086,G06007317,High,False,False,False,0
214894,G06007326,High,False,False,False,0
19506,G06007323,High,False,False,False,0
268205,G06007312,Medium,False,False,False,0
303670,G06007326,High,False,False,False,0
10960,G06007311,High,False,False,False,0
11498,G06007327,High,False,False,False,0
306797,G06007328,Low,False,False,False,0
272116,G06007301,Low,False,False,False,0
308196,G06007317,High,False,False,False,0
231954,G06007301,Medium,True,True,False,0
175002,G06007312,Low,False,False,True,0
11290,G06007310,Low,False,False,False,0
175734,G06007316,High,False,False,False,0
268441,G06007316,High,False,False,False,0
521565,G06007310,Medium,False,False,False,0
256363,G06007327,Medium,False,False,False,0
306672,G06007314,Low,False,False,False,0
251693,G06007312,High,False,False,False,1
306852,G06007327,High,False,False,True,0
229507,G06007315,Medium,False,False,True,0
201525,G06007326,Low,False,False,False,0
523263,G06007316,High,False,False,False,1
174940,G06007301,High,True,True,False,0
306708,G06007322,Medium,False,False,False,0
249268,G06007301,High,False,False,False,0
211226,G06007312,Low,False,False,False,0
303777,G06007312,Medium,False,False,False,1
20948,G06007315,Low,False,False,False,0
535657,G06007322,High,False,False,False,0
536211,G06007315,High,True,True,False,0
232872,G06007301,High,False,False,False,0
258019,G06007315,Medium,False,False,False,0
216395,G06007315,High,False,False,False,0
307226,G06007329,Low,False,False,False,0
305495,G06007312,Low,False,False,False,0
19540,G06007330,Medium,False,False,False,0
306905,G06007314,High,True,True,False,0
744,G06007324,Medium,True,True,False,0
249516,G06007312,Medium,True,True,False,0
738,G06007324,Medium,False,False,False,0
534631,G06007315,Low,False,False,False,1
227792,G06007310,Medium,False,False,False,0
230119,G06007311,High,False,False,False,0
252146,G06007316,Low,False,False,False,0
308211,G06007310,High,False,False,False,0
176871,G06007310,Medium,False,False,False,0
303473,G06007323,High,False,False,False,0
765,G06007330,Low,False,False,False,0
11605,G06007315,Medium,False,False,False,0
305791,G06007310,High,False,False,False,0
176830,G06007322,Medium,False,False,False,0
175861,G06007330,Medium,True,True,False,0
257242,G06007312,Medium,True,True,False,0
534837,G06007322,Medium,False,False,False,0
536021,G06007316,Low,False,False,False,0
536593,G06007301,High,False,False,True,0
268073,G06007322,Low,False,False,False,0
12077,G06007310,Medium,False,False,False,0
539606,G06007314,High,False,False,False,0
303295,G06007317,High,True,True,True,0
250213,G06007326,Low,False,False,False,1
266878,G06007316,High,False,False,False,0
249892,G06007327,High,False,False,False,0
250589,G06007326,Low,False,False,True,0
808,G06007330,Medium,False,False,False,0
250663,G06007330,Low,False,False,True,0
230461,G06007301,High,False,False,False,0
308226,G06007315,High,False,False,False,0
230417,G06007310,High,False,False,True,0
250538,G06007315,High,False,False,False,0
272364,G06007327,Low,True,True,False,0
257238,G06007329,High,False,False,False,0
11217,G06007328,High,False,False,False,1
174879,G06007314,High,False,False,False,0
257228,G06007324,High,False,False,False,0
230114,G06007326,High,False,False,False,0
175841,G06007310,Medium,False,False,False,0
12075,G06007310,High,False,False,False,0
174144,G06007326,Medium,False,False,False,0
178099,G06007330,High,True,True,False,0
5767,G06007314,Medium,True,True,True,0
535109,G06007329,High,False,False,False,0
216040,G06007301,Medium,True,True,True,0
216014,G06007316,Medium,False,False,False,0
535219,G06007328,Low,False,False,False,1
106,G06007301,High,False,False,False,1
203588,G06007314,High,False,False,False,0
303324,G06007314,High,False,False,False,0
256880,G06007324,Low,True,True,False,0
19504,G06007323,High,False,False,False,0
534065,G06007324,High,False,False,False,0
227692,G06007312,Low,True,True,False,0
210472,G06007317,High,False,False,False,0
20362,G06007324,High,False,False,False,0
306552,G06007327,High,False,False,False,0
232729,G06007323,Low,False,False,False,0
176503,G06007312,High,False,False,False,0
203023,G06007316,Medium,False,False,False,0
534328,G06007323,High,False,False,False,0
271434,G06007327,Medium,False,False,False,0
270500,G06007315,High,False,False,False,0
306310,G06007301,High,False,False,False,0
306301,G06007324,Medium,False,False,False,0
177073,G06007316,High,False,False,True,0
306294,G06007312,Low,False,False,True,0
270483,G06007310,Medium,False,False,False,0
536142,G06007327,Medium,False,False,False,0
267319,G06007330,High,False,False,False,0
308505,G06007330,High,True,True,False,0
174614,G06007311,Low,False,False,True,0
249746,G06007323,Medium,False,False,True,0
177247,G06007322,Medium,True,True,False,1
200144,G06007316,Medium,False,False,False,0
267315,G06007310,High,False,False,True,0
535040,G06007323,Low,False,False,False,0
177052,G06007326,High,True,True,False,0
252308,G06007316,Medium,False,False,False,0
308438,G06007330,High,False,False,False,0
271568,G06007326,High,False,False,False,0
201391,G06007314,Medium,False,False,False,0
6059,G06007317,Low,False,False,False,0
265733,G06007327,Medium,True,True,True,0
304586,G06007317,Medium,False,False,False,0
542594,G06007315,High,False,False,False,0
215979,G06007324,Medium,True,True,True,0
522522,G06007326,Medium,True,True,True,0
214381,G06007310,High,False,False,False,0
541991,G06007329,Medium,False,False,False,0
10608,G06007301,Low,True,True,False,0
308478,G06007315,Medium,False,False,False,0
306356,G06007323,Low,False,False,False,0
306342,G06007330,Medium,False,False,False,0
11335,G06007312,High,True,True,False,0
271565,G06007310,Medium,True,True,True,0
266162,G06007329,Medium,False,False,True,0
215112,G06007329,High,False,False,False,0
271365,G06007310,Low,False,False,False,0
266019,G06007316,Medium,False,False,False,0
307670,G06007312,Low,True,True,False,0
522485,G06007324,High,False,False,True,0
201208,G06007312,High,False,False,False,0
534377,G06007314,High,False,False,True,0
709,G06007301,High,False,False,False,0
308694,G06007311,High,False,False,False,0
20637,G06007315,High,False,False,False,0
176466,G06007301,Medium,False,False,False,0
712,G06007312,Medium,False,False,False,0
231079,G06007326,Medium,True,True,False,0
257575,G06007310,High,True,True,False,0
250088,G06007311,Medium,False,False,False,1
271163,G06007326,High,False,False,False,0
177117,G06007329,Low,False,False,False,0
307703,G06007310,Medium,False,False,False,0
202238,G06007326,Medium,False,False,False,0
307757,G06007317,High,False,False,False,0
304899,G06007329,Medium,True,True,True,0
175310,G06007328,Medium,False,False,False,0
230567,G06007328,High,False,False,False,0
177095,G06007327,High,False,False,False,0
521606,G06007330,High,False,False,False,0
549808,G06007330,High,False,False,False,0
541952,G06007314,High,True,True,False,0
305011,G06007312,High,False,False,True,1
231791,G06007330,Medium,False,False,False,0
19874,G06007316,High,False,False,False,0
201259,G06007322,High,False,False,False,0
535008,G06007315,Medium,False,False,False,0
211530,G06007317,Medium,False,False,False,0
214685,G06007327,High,False,False,False,0
232395,G06007322,High,True,True,False,0
11401,G06007310,Low,True,True,False,0
257517,G06007316,High,False,False,False,1
267425,G06007301,Low,False,False,False,0
11907,G06007322,High,False,False,False,0
230636,G06007317,Low,False,False,False,0
250814,G06007317,High,False,False,False,0
211456,G06007327,Medium,False,False,False,1
541968,G06007301,Low,False,False,False,0
304992,G06007330,Medium,False,False,True,0
202352,G06007324,High,False,False,False,1
521510,G06007329,Medium,False,False,False,0
267791,G06007329,High,True,True,False,0
5868,G06007330,Medium,True,True,False,0
265853,G06007324,High,False,False,False,1
11446,G06007316,Medium,False,False,False,1
265874,G06007317,High,True,True,False,0
522794,G06007330,High,True,True,True,0
536527,G06007323,High,False,False,False,0
199923,G06007330,High,True,True,False,0
229938,G06007316,Low,True,True,False,0
232502,G06007327,High,False,False,False,0
268003,G06007310,Medium,False,False,False,0
522385,G06007316,Medium,False,False,False,0
522764,G06007327,Medium,False,False,True,0
201420,G06007327,High,False,False,False,0
199950,G06007310,Medium,True,True,False,0
534244,G06007314,Low,False,False,False,0
542774,G06007314,High,False,False,False,0
228001,G06007329,Low,False,False,True,0
267990,G06007330,Medium,False,False,False,0
304070,G06007322,High,False,False,False,0
542240,G06007316,High,False,False,False,0
175111,G06007327,Low,False,False,False,1
304008,G06007327,High,False,False,False,0
230747,G06007312,Medium,False,False,False,0
308346,G06007317,Medium,False,False,False,0
549443,G06007326,Low,False,False,False,0
252223,G06007311,Medium,False,False,False,1
307996,G06007316,Medium,False,False,False,0
308938,G06007315,High,False,False,False,0
199829,G06007317,High,False,False,False,1
19944,G06007324,Medium,False,False,False,1
232705,G06007326,High,False,False,False,0
229618,G06007322,Medium,True,True,False,1
201946,G06007311,Medium,False,False,False,0
539524,G06007317,Low,False,False,False,0
12044,G06007317,High,False,False,False,0
232690,G06007314,Medium,True,True,False,0
174750,G06007324,Low,False,False,False,0
522941,G06007301,Low,False,False,False,0
211354,G06007311,High,False,False,True,0
522889,G06007316,High,False,False,True,0
202454,G06007312,Low,False,False,False,0
535895,G06007324,Low,False,False,False,0
251622,G06007315,High,True,True,False,0
214743,G06007324,High,False,False,True,0
521695,G06007328,Medium,False,False,False,0
11754,G06007315,Medium,False,False,False,0
536411,G06007324,Low,False,False,True,0
542183,G06007311,Medium,False,False,False,0
270578,G06007330,High,False,False,False,0
228035,G06007314,Medium,True,True,False,0
200446,G06007328,Medium,False,False,False,0
10290,G06007314,High,False,False,False,0
257932,G06007311,High,True,True,False,0
11147,G06007314,Medium,False,False,False,0
305135,G06007310,Medium,False,False,False,0
228037,G06007301,High,False,False,False,0
873,G06007312,Low,False,False,False,0
304524,G06007326,High,False,False,False,0
229410,G06007316,High,False,False,False,0
200425,G06007301,Low,False,False,False,0
215284,G06007316,Medium,False,False,False,0
177393,G06007330,Low,False,False,True,0
249791,G06007324,Low,False,False,False,0
211642,G06007311,High,False,False,False,0
522649,G06007316,Low,False,False,False,0
265510,G06007330,Medium,False,False,False,0
304287,G06007326,Medium,False,False,False,0
251432,G06007301,Medium,True,True,False,0
305189,G06007324,Medium,False,False,False,0
211479,G06007322,Low,False,False,False,0
228006,G06007315,High,False,False,True,1
306487,G06007322,Low,False,False,False,0
539610,G06007322,High,False,False,False,0
215013,G06007315,Low,False,False,True,0
175204,G06007310,Medium,False,False,False,0
304454,G06007317,High,False,False,False,1
228023,G06007310,High,False,False,False,0
307838,G06007315,High,False,False,False,0
216173,G06007310,Medium,False,False,False,0
230726,G06007324,High,False,False,False,1
250418,G06007323,High,False,False,True,0
232491,G06007311,Low,True,True,False,0
257156,G06007311,Low,False,False,False,0
201401,G06007322,High,True,True,False,0
266043,G06007324,High,False,False,False,0
232492,G06007316,Low,False,False,False,1
190082,G06007329,High,False,False,False,0
263958,G06007317,High,False,False,False,0
292179,G06007301,Low,True,True,False,0
238003,G06007312,High,True,True,False,0
292165,G06007324,Medium,False,False,False,0
193396,G06007326,High,False,False,False,0
281451,G06007311,Medium,True,True,False,0
292128,G06007301,High,False,False,False,0
213624,G06007310,Medium,False,False,False,1
243351,G06007315,High,True,True,False,0
540791,G06007312,Medium,False,False,False,0
238026,G06007315,Low,False,False,False,0
243342,G06007323,Low,True,True,False,1
281497,G06007311,Medium,False,False,False,0
281529,G06007301,High,False,False,False,0
3964,G06007310,Low,False,False,False,0
185982,G06007301,Low,False,False,True,1
16581,G06007315,High,False,False,False,0
281624,G06007315,High,False,False,False,0
14359,G06007329,Medium,False,False,False,0
243277,G06007316,Low,False,False,False,0
291980,G06007314,High,False,False,False,0
